Frame,Image,GroundTruth,Prediction,Confidence,TP,FP,FN,TN,Accuracy,Precision,Recall,FPS,Status
51,good_00 (23).png,GOOD,PASS,0.8417,41,5,0,6,0.9038,0.8913,1.0,19.51,FAIL
52,good_00 (24).png,GOOD,PASS,0.8079,42,5,0,6,0.9057,0.8936,1.0,19.51,FAIL
53,good_00 (25).png,GOOD,PASS,0.8087,43,5,0,6,0.9074,0.8958,1.0,19.56,FAIL
54,good_00 (26).png,GOOD,PASS,0.825,44,5,0,6,0.9091,0.898,1.0,19.53,FAIL
55,good_00 (27).png,GOOD,PASS,0.815,45,5,0,6,0.9107,0.9,1.0,19.49,FAIL
56,good_00 (29).png,GOOD,PASS,0.8024,46,5,0,6,0.9123,0.902,1.0,19.54,FAIL
57,good_00 (3).png,GOOD,PASS,0.7815,47,5,0,6,0.9138,0.9038,1.0,19.52,FAIL
58,good_00 (30).png,GOOD,PASS,0.8215,48,5,0,6,0.9153,0.9057,1.0,19.43,FAIL
59,good_00 (4).png,GOOD,PASS,0.8238,49,5,0,6,0.9167,0.9074,1.0,19.42,FAIL
60,good_00 (5).png,GOOD,PASS,0.8028,50,5,0,6,0.918,0.9091,1.0,19.38,FAIL
61,good_00 (6).png,GOOD,PASS,0.8193,51,5,0,6,0.9194,0.9107,1.0,19.43,FAIL
62,good_00 (8).png,GOOD,PASS,0.8462,52,5,0,6,0.9206,0.9123,1.0,19.55,FAIL
63,good_00 (9).png,GOOD,PASS,0.8462,53,5,0,6,0.9219,0.9138,1.0,19.67,FAIL
64,defect_001 (46).png,DEFECTIVE,PASS,0.8122,53,6,0,6,0.9077,0.8983,1.0,19.72,FAIL
65,defect_001 (47).png,DEFECTIVE,PASS,0.7496,53,7,0,6,0.8939,0.8833,1.0,19.66,FAIL
66,defect_001 (48).png,DEFECTIVE,DEFECT,0.3792,53,7,0,7,0.8955,0.8833,1.0,19.76,FAIL
67,defect_001 (49).png,DEFECTIVE,PASS,0.7243,53,8,0,7,0.8824,0.8689,1.0,19.81,FAIL
68,defect_001 (50).png,DEFECTIVE,PASS,0.7469,53,9,0,7,0.8696,0.8548,1.0,19.79,FAIL
69,defect_001 (51).png,DEFECTIVE,PASS,0.7563,53,10,0,7,0.8571,0.8413,1.0,19.92,FAIL
70,defect_001 (52).png,DEFECTIVE,DEFECT,0.3163,53,10,0,8,0.8592,0.8413,1.0,19.83,FAIL
71,defect_001 (54).png,DEFECTIVE,DEFECT,0.4167,53,10,0,9,0.8611,0.8413,1.0,19.84,FAIL
72,defect_001 (55).png,DEFECTIVE,DEFECT,0.4232,53,10,0,10,0.863,0.8413,1.0,19.88,FAIL
73,good_00 (1).png,GOOD,PASS,0.8078,54,10,0,10,0.8649,0.8438,1.0,19.94,FAIL
74,good_00 (10).png,GOOD,PASS,0.8102,55,10,0,10,0.8667,0.8462,1.0,19.95,FAIL
75,good_00 (11).png,GOOD,PASS,0.7977,56,10,0,10,0.8684,0.8485,1.0,19.98,FAIL
76,good_00 (12).png,GOOD,PASS,0.8214,57,10,0,10,0.8701,0.8507,1.0,20.07,WARN
77,good_00 (13).png,GOOD,PASS,0.7781,58,10,0,10,0.8718,0.8529,1.0,20.06,WARN
78,good_00 (14).png,GOOD,PASS,0.8208,59,10,0,10,0.8734,0.8551,1.0,20.07,WARN
79,good_00 (15).png,GOOD,PASS,0.7961,60,10,0,10,0.875,0.8571,1.0,19.96,FAIL
80,good_00 (17).png,GOOD,PASS,0.833,61,10,0,10,0.8765,0.8592,1.0,20.02,WARN
81,good_00 (18).png,GOOD,PASS,0.7975,62,10,0,10,0.878,0.8611,1.0,20.15,WARN
82,good_00 (19).png,GOOD,PASS,0.801,63,10,0,10,0.8795,0.863,1.0,20.32,WARN
83,good_00 (2).png,GOOD,PASS,0.801,64,10,0,10,0.881,0.8649,1.0,20.36,WARN
84,good_00 (20).png,GOOD,PASS,0.8131,65,10,0,10,0.8824,0.8667,1.0,20.39,WARN
85,good_00 (21).png,GOOD,PASS,0.832,66,10,0,10,0.8837,0.8684,1.0,20.43,WARN
86,good_00 (22).png,GOOD,PASS,0.8335,67,10,0,10,0.8851,0.8701,1.0,20.44,WARN
87,good_00 (23).png,GOOD,PASS,0.8417,68,10,0,10,0.8864,0.8718,1.0,20.41,WARN
88,good_00 (24).png,GOOD,PASS,0.8079,69,10,0,10,0.8876,0.8734,1.0,20.48,WARN
89,good_00 (25).png,GOOD,PASS,0.8087,70,10,0,10,0.8889,0.875,1.0,20.47,WARN
90,good_00 (26).png,GOOD,PASS,0.825,71,10,0,10,0.8901,0.8765,1.0,20.49,WARN
91,good_00 (28).png,GOOD,PASS,0.8024,72,10,0,10,0.8913,0.878,1.0,20.41,WARN
92,good_00 (29).png,GOOD,PASS,0.7815,73,10,0,10,0.8925,0.8795,1.0,20.27,WARN
93,good_00 (3).png,GOOD,PASS,0.8208,74,10,0,10,0.8936,0.881,1.0,20.25,WARN
94,good_00 (4).png,GOOD,PASS,0.8215,75,10,0,10,0.8947,0.8824,1.0,20.22,WARN
95,good_00 (5).png,GOOD,PASS,0.8028,76,10,0,10,0.8958,0.8837,1.0,20.26,WARN
96,good_00 (6).png,GOOD,PASS,0.8193,77,10,0,10,0.8969,0.8851,1.0,20.24,WARN
97,good_00 (7).png,GOOD,PASS,0.7509,78,10,0,10,0.898,0.8864,1.0,20.18,WARN
98,good_00 (8).png,GOOD,PASS,0.8462,79,10,0,10,0.899,0.8876,1.0,20.12,WARN
99,defect_001 (46).png,DEFECTIVE,PASS,0.7724,79,11,0,10,0.89,0.8778,1.0,20.12,WARN
100,defect_001 (47).png,DEFECTIVE,PASS,0.7496,79,12,0,10,0.8812,0.8681,1.0,20.29,WARN
101,defect_001 (48).png,DEFECTIVE,DEFECT,0.3792,79,12,0,11,0.8824,0.8681,1.0,20.31,WARN
102,defect_001 (49).png,DEFECTIVE,PASS,0.7243,79,13,0,11,0.8738,0.8587,1.0,20.3,WARN
103,defect_001 (50).png,DEFECTIVE,PASS,0.7469,79,14,0,11,0.8654,0.8495,1.0,20.37,WARN
104,defect_001 (51).png,DEFECTIVE,PASS,0.7469,79,15,0,11,0.8571,0.8404,1.0,20.41,WARN
105,defect_001 (51).png,DEFECTIVE,PASS,0.7563,79,16,0,11,0.8491,0.8316,1.0,20.32,WARN
106,defect_001 (53).png,DEFECTIVE,DEFECT,0.3163,79,16,0,12,0.8505,0.8316,1.0,20.34,WARN
107,defect_001 (54).png,DEFECTIVE,DEFECT,0.5064,79,16,0,13,0.8519,0.8316,1.0,20.37,WARN
108,defect_001 (55).png,DEFECTIVE,DEFECT,0.4167,79,16,0,14,0.8532,0.8316,1.0,20.39,WARN
109,good_00 (1).png,GOOD,DEFECT,0.4232,79,16,1,14,0.8455,0.8316,0.9875,20.48,WARN
110,good_00 (10).png,GOOD,PASS,0.8078,80,16,1,14,0.8468,0.8333,0.9877,20.46,WARN
111,good_00 (11).png,GOOD,PASS,0.7977,81,16,1,14,0.8482,0.8351,0.9878,20.43,WARN
112,good_00 (12).png,GOOD,PASS,0.8214,82,16,1,14,0.8496,0.8367,0.988,20.23,WARN
113,good_00 (13).png,GOOD,PASS,0.7781,83,16,1,14,0.8509,0.8384,0.9881,20.27,WARN
114,good_00 (14).png,GOOD,PASS,0.8208,84,16,1,14,0.8522,0.84,0.9882,20.24,WARN
115,good_00 (15).png,GOOD,PASS,0.7961,85,16,1,14,0.8534,0.8416,0.9884,20.17,WARN
116,good_00 (16).png,GOOD,PASS,0.833,86,16,1,14,0.8547,0.8431,0.9885,20.18,WARN
117,good_00 (17).png,GOOD,PASS,0.7895,87,16,1,14,0.8559,0.8447,0.9886,20.18,WARN
118,good_00 (19).png,GOOD,PASS,0.7975,88,16,1,14,0.8571,0.8462,0.9888,20.07,WARN
119,good_00 (2).png,GOOD,PASS,0.7889,89,16,1,14,0.8583,0.8476,0.9889,20.16,WARN
120,good_00 (20).png,GOOD,PASS,0.8131,90,16,1,14,0.8595,0.8491,0.989,20.31,WARN
121,good_00 (21).png,GOOD,PASS,0.832,91,16,1,14,0.8607,0.8505,0.9891,20.4,WARN
122,good_00 (22).png,GOOD,PASS,0.8335,92,16,1,14,0.8618,0.8519,0.9892,20.52,WARN
123,good_00 (23).png,GOOD,PASS,0.8335,93,16,1,14,0.8629,0.8532,0.9894,20.56,WARN
124,good_00 (23).png,GOOD,PASS,0.8417,94,16,1,14,0.864,0.8545,0.9895,20.57,WARN
125,good_00 (25).png,GOOD,PASS,0.8087,95,16,1,14,0.8651,0.8559,0.9896,20.55,WARN
126,good_00 (26).png,GOOD,PASS,0.825,96,16,1,14,0.8661,0.8571,0.9897,20.6,WARN
127,good_00 (28).png,GOOD,PASS,0.8024,97,16,1,14,0.8672,0.8584,0.9898,20.66,WARN
128,good_00 (29).png,GOOD,PASS,0.7815,98,16,1,14,0.8682,0.8596,0.9899,20.77,WARN
129,good_00 (3).png,GOOD,PASS,0.8208,99,16,1,14,0.8692,0.8609,0.99,20.68,WARN
130,good_00 (30).png,GOOD,PASS,0.8215,100,16,1,14,0.8702,0.8621,0.9901,20.57,WARN
131,good_00 (5).png,GOOD,PASS,0.8028,101,16,1,14,0.8712,0.8632,0.9902,20.53,WARN
132,good_00 (6).png,GOOD,PASS,0.8193,102,16,1,14,0.8722,0.8644,0.9903,20.45,WARN
133,good_00 (7).png,GOOD,PASS,0.7509,103,16,1,14,0.8731,0.8655,0.9904,20.36,WARN
134,good_00 (9).png,GOOD,PASS,0.8122,104,16,1,14,0.8741,0.8667,0.9905,20.29,WARN
135,defect_001 (46).png,DEFECTIVE,PASS,0.7724,104,17,1,14,0.8676,0.8595,0.9905,20.33,WARN
136,defect_001 (47).png,DEFECTIVE,PASS,0.7496,104,18,1,14,0.8613,0.8525,0.9905,20.39,WARN
137,defect_001 (48).png,DEFECTIVE,DEFECT,0.3792,104,18,1,15,0.8623,0.8525,0.9905,20.31,WARN
138,defect_001 (49).png,DEFECTIVE,PASS,0.7243,104,19,1,15,0.8561,0.8455,0.9905,20.33,WARN
139,defect_001 (50).png,DEFECTIVE,PASS,0.7469,104,20,1,15,0.85,0.8387,0.9905,20.25,WARN
140,defect_001 (51).png,DEFECTIVE,PASS,0.7563,104,21,1,15,0.844,0.832,0.9905,20.24,WARN
141,defect_001 (53).png,DEFECTIVE,DEFECT,0.5064,104,21,1,16,0.8451,0.832,0.9905,20.24,WARN
142,defect_001 (54).png,DEFECTIVE,DEFECT,0.5064,104,21,1,17,0.8462,0.832,0.9905,20.36,WARN
143,defect_001 (55).png,DEFECTIVE,DEFECT,0.4167,104,21,1,18,0.8472,0.832,0.9905,20.36,WARN
144,defect_001 (55).png,DEFECTIVE,DEFECT,0.4232,104,21,1,19,0.8483,0.832,0.9905,20.46,WARN
145,good_00 (1).png,GOOD,PASS,0.8078,105,21,1,19,0.8493,0.8333,0.9906,20.56,WARN
146,good_00 (10).png,GOOD,PASS,0.8102,106,21,1,19,0.8503,0.8346,0.9907,20.53,WARN
147,good_00 (11).png,GOOD,PASS,0.7977,107,21,1,19,0.8514,0.8359,0.9907,20.57,WARN
148,good_00 (12).png,GOOD,PASS,0.8214,108,21,1,19,0.8523,0.8372,0.9908,20.7,WARN
149,good_00 (13).png,GOOD,PASS,0.7781,109,21,1,19,0.8533,0.8385,0.9909,20.65,WARN
150,good_00 (14).png,GOOD,PASS,0.8208,110,21,1,19,0.8543,0.8397,0.991,20.56,WARN
151,good_00 (16).png,GOOD,PASS,0.833,111,21,1,19,0.8553,0.8409,0.9911,20.49,WARN
152,good_00 (17).png,GOOD,PASS,0.7895,112,21,1,19,0.8562,0.8421,0.9912,20.53,WARN
153,good_00 (18).png,GOOD,PASS,0.7895,113,21,1,19,0.8571,0.8433,0.9912,20.48,WARN
154,good_00 (19).png,GOOD,PASS,0.7975,114,21,1,19,0.8581,0.8444,0.9913,20.62,WARN
155,good_00 (19).png,GOOD,PASS,0.801,115,21,1,19,0.859,0.8456,0.9914,20.74,WARN
156,good_00 (2).png,GOOD,PASS,0.7889,116,21,1,19,0.8599,0.8467,0.9915,20.67,WARN
157,good_00 (20).png,GOOD,PASS,0.8131,117,21,1,19,0.8608,0.8478,0.9915,20.66,WARN
158,good_00 (21).png,GOOD,PASS,0.832,118,21,1,19,0.8616,0.8489,0.9916,20.58,WARN
159,good_00 (22).png,GOOD,PASS,0.8335,119,21,1,19,0.8625,0.85,0.9917,20.72,WARN
160,good_00 (23).png,GOOD,PASS,0.8417,120,21,1,19,0.8634,0.8511,0.9917,20.77,WARN
161,good_00 (25).png,GOOD,PASS,0.8087,121,21,1,19,0.8642,0.8521,0.9918,20.81,WARN
162,good_00 (26).png,GOOD,PASS,0.8087,122,21,1,19,0.865,0.8531,0.9919,20.91,WARN
163,good_00 (26).png,GOOD,PASS,0.825,123,21,1,19,0.8659,0.8542,0.9919,21.01,WARN
164,good_00 (27).png,GOOD,PASS,0.815,124,21,1,19,0.8667,0.8552,0.992,21.11,WARN
165,good_00 (28).png,GOOD,PASS,0.8024,125,21,1,19,0.8675,0.8562,0.9921,21.18,WARN
166,good_00 (29).png,GOOD,PASS,0.7815,126,21,1,19,0.8683,0.8571,0.9921,21.21,WARN
167,good_00 (3).png,GOOD,PASS,0.8208,127,21,1,19,0.869,0.8581,0.9922,21.28,WARN
168,good_00 (30).png,GOOD,PASS,0.8215,128,21,1,19,0.8698,0.8591,0.9922,21.28,WARN
169,good_00 (4).png,GOOD,PASS,0.8238,129,21,1,19,0.8706,0.86,0.9923,21.4,WARN
170,good_00 (5).png,GOOD,PASS,0.8028,130,21,1,19,0.8713,0.8609,0.9924,21.51,WARN
171,good_00 (7).png,GOOD,PASS,0.7509,131,21,1,19,0.8721,0.8618,0.9924,21.46,WARN
172,good_00 (8).png,GOOD,PASS,0.8462,132,21,1,19,0.8728,0.8627,0.9925,21.35,WARN
173,good_00 (9).png,GOOD,PASS,0.8122,133,21,1,19,0.8736,0.8636,0.9925,21.27,WARN
174,defect_001 (46).png,DEFECTIVE,PASS,0.7724,133,22,1,19,0.8686,0.8581,0.9925,21.2,WARN
175,defect_001 (47).png,DEFECTIVE,PASS,0.7496,133,23,1,19,0.8636,0.8526,0.9925,21.13,WARN
176,defect_001 (49).png,DEFECTIVE,DEFECT,0.3792,133,23,1,20,0.8644,0.8526,0.9925,21.12,WARN
177,defect_001 (50).png,DEFECTIVE,PASS,0.7243,133,24,1,20,0.8596,0.8471,0.9925,21.12,WARN
178,defect_001 (51).png,DEFECTIVE,PASS,0.7563,133,25,1,20,0.8547,0.8418,0.9925,21.01,WARN
179,defect_001 (52).png,DEFECTIVE,DEFECT,0.3163,133,25,1,21,0.8556,0.8418,0.9925,21.11,WARN
180,defect_001 (53).png,DEFECTIVE,DEFECT,0.5064,133,25,1,22,0.8564,0.8418,0.9925,21.09,WARN
181,defect_001 (54).png,DEFECTIVE,DEFECT,0.4167,133,25,1,23,0.8571,0.8418,0.9925,21.03,WARN
182,defect_001 (55).png,DEFECTIVE,DEFECT,0.4232,133,25,1,24,0.8579,0.8418,0.9925,20.86,WARN
183,good_00 (1).png,GOOD,PASS,0.8078,134,25,1,24,0.8587,0.8428,0.9926,20.83,WARN
184,good_00 (10).png,GOOD,PASS,0.8102,135,25,1,24,0.8595,0.8438,0.9926,20.74,WARN
185,good_00 (12).png,GOOD,PASS,0.7977,136,25,1,24,0.8602,0.8447,0.9927,20.64,WARN
186,good_00 (13).png,GOOD,PASS,0.8214,137,25,1,24,0.861,0.8457,0.9928,20.6,WARN
187,good_00 (14).png,GOOD,PASS,0.8208,138,25,1,24,0.8617,0.8466,0.9928,20.57,WARN
188,good_00 (15).png,GOOD,PASS,0.7961,139,25,1,24,0.8624,0.8476,0.9929,20.63,WARN
189,good_00 (16).png,GOOD,PASS,0.833,140,25,1,24,0.8632,0.8485,0.9929,20.61,WARN
190,good_00 (17).png,GOOD,PASS,0.7895,141,25,1,24,0.8639,0.8494,0.993,20.58,WARN
191,good_00 (19).png,GOOD,PASS,0.801,142,25,1,24,0.8646,0.8503,0.993,20.5,WARN
192,good_00 (2).png,GOOD,PASS,0.7889,143,25,1,24,0.8653,0.8512,0.9931,20.44,WARN
193,good_00 (20).png,GOOD,PASS,0.8131,144,25,1,24,0.866,0.8521,0.9931,20.24,WARN
194,good_00 (21).png,GOOD,PASS,0.832,145,25,1,24,0.8667,0.8529,0.9932,20.2,WARN
195,good_00 (22).png,GOOD,PASS,0.8335,146,25,1,24,0.8673,0.8538,0.9932,20.13,WARN
196,good_00 (23).png,GOOD,PASS,0.8417,147,25,1,24,0.868,0.8547,0.9932,20.0,FAIL
197,good_00 (25).png,GOOD,PASS,0.8079,148,25,1,24,0.8687,0.8555,0.9933,19.97,FAIL
198,good_00 (26).png,GOOD,PASS,0.825,149,25,1,24,0.8693,0.8563,0.9933,19.9,FAIL
199,good_00 (27).png,GOOD,PASS,0.815,150,25,1,24,0.87,0.8571,0.9934,19.75,FAIL
200,good_00 (28).png,GOOD,PASS,0.8024,151,25,1,24,0.8706,0.858,0.9934,19.67,FAIL
201,good_00 (29).png,GOOD,PASS,0.7815,152,25,1,24,0.8713,0.8588,0.9935,19.71,FAIL
202,good_00 (3).png,GOOD,PASS,0.8208,153,25,1,24,0.8719,0.8596,0.9935,19.9,FAIL
203,good_00 (30).png,GOOD,PASS,0.8215,154,25,1,24,0.8725,0.8603,0.9935,20.04,WARN
204,good_00 (4).png,GOOD,PASS,0.8238,155,25,1,24,0.8732,0.8611,0.9936,20.07,WARN
205,good_00 (5).png,GOOD,PASS,0.8028,156,25,1,24,0.8738,0.8619,0.9936,20.16,WARN
206,good_00 (6).png,GOOD,PASS,0.8193,157,25,1,24,0.8744,0.8626,0.9937,20.21,WARN
207,good_00 (7).png,GOOD,PASS,0.7509,158,25,1,24,0.875,0.8634,0.9937,20.26,WARN
208,good_00 (8).png,GOOD,PASS,0.8462,159,25,1,24,0.8756,0.8641,0.9938,20.39,WARN
209,good_00 (9).png,GOOD,PASS,0.8122,160,25,1,24,0.8762,0.8649,0.9938,20.36,WARN
210,defect_001 (46).png,DEFECTIVE,PASS,0.7724,160,26,1,24,0.872,0.8602,0.9938,20.41,WARN
211,defect_001 (47).png,DEFECTIVE,PASS,0.7496,160,27,1,24,0.8679,0.8556,0.9938,20.5,WARN
212,defect_001 (49).png,DEFECTIVE,PASS,0.7243,160,28,1,24,0.8638,0.8511,0.9938,20.55,WARN
213,defect_001 (50).png,DEFECTIVE,PASS,0.7469,160,29,1,24,0.8598,0.8466,0.9938,20.54,WARN
214,defect_001 (51).png,DEFECTIVE,PASS,0.7563,160,30,1,24,0.8558,0.8421,0.9938,20.55,WARN
215,defect_001 (52).png,DEFECTIVE,DEFECT,0.3163,160,30,1,25,0.8565,0.8421,0.9938,20.61,WARN
216,defect_001 (54).png,DEFECTIVE,DEFECT,0.4167,160,30,1,26,0.8571,0.8421,0.9938,20.71,WARN
217,defect_001 (55).png,DEFECTIVE,DEFECT,0.4232,160,30,1,27,0.8578,0.8421,0.9938,20.82,WARN
218,good_00 (10).png,GOOD,PASS,0.8102,161,30,1,27,0.8584,0.8429,0.9938,20.9,WARN
219,good_00 (11).png,GOOD,PASS,0.8102,162,30,1,27,0.8591,0.8438,0.9939,20.8,WARN
220,good_00 (12).png,GOOD,PASS,0.8214,163,30,1,27,0.8597,0.8446,0.9939,20.79,WARN
221,good_00 (14).png,GOOD,PASS,0.8208,164,30,1,27,0.8604,0.8454,0.9939,20.86,WARN
222,good_00 (15).png,GOOD,PASS,0.7961,165,30,1,27,0.861,0.8462,0.994,20.89,WARN
223,good_00 (16).png,GOOD,PASS,0.833,166,30,1,27,0.8616,0.8469,0.994,21.06,WARN
224,good_00 (17).png,GOOD,PASS,0.7895,167,30,1,27,0.8622,0.8477,0.994,21.1,WARN
225,good_00 (18).png,GOOD,PASS,0.7975,168,30,1,27,0.8628,0.8485,0.9941,21.03,WARN
226,good_00 (19).png,GOOD,PASS,0.801,169,30,1,27,0.8634,0.8492,0.9941,21.17,WARN
227,good_00 (2).png,GOOD,PASS,0.7889,170,30,1,27,0.864,0.85,0.9942,21.17,WARN
228,good_00 (20).png,GOOD,PASS,0.8131,171,30,1,27,0.8646,0.8507,0.9942,21.27,WARN
229,good_00 (21).png,GOOD,PASS,0.832,172,30,1,27,0.8652,0.8515,0.9942,21.41,WARN
230,good_00 (22).png,GOOD,PASS,0.8335,173,30,1,27,0.8658,0.8522,0.9943,21.41,WARN
231,good_00 (23).png,GOOD,PASS,0.8417,174,30,1,27,0.8664,0.8529,0.9943,21.44,WARN
232,good_00 (24).png,GOOD,PASS,0.8079,175,30,1,27,0.867,0.8537,0.9943,21.44,WARN
233,good_00 (25).png,GOOD,PASS,0.8087,176,30,1,27,0.8675,0.8544,0.9944,21.31,WARN
234,good_00 (26).png,GOOD,PASS,0.825,177,30,1,27,0.8681,0.8551,0.9944,21.33,WARN
235,good_00 (27).png,GOOD,PASS,0.815,178,30,1,27,0.8686,0.8558,0.9944,21.22,WARN
236,good_00 (28).png,GOOD,PASS,0.8024,179,30,1,27,0.8692,0.8565,0.9944,21.22,WARN
237,good_00 (3).png,GOOD,PASS,0.8208,180,30,1,27,0.8697,0.8571,0.9945,21.19,WARN
238,good_00 (30).png,GOOD,PASS,0.8215,181,30,1,27,0.8703,0.8578,0.9945,21.19,WARN
239,good_00 (4).png,GOOD,PASS,0.8238,182,30,1,27,0.8708,0.8585,0.9945,21.09,WARN
240,good_00 (5).png,GOOD,PASS,0.8028,183,30,1,27,0.8714,0.8592,0.9946,21.0,WARN
241,good_00 (7).png,GOOD,PASS,0.7509,184,30,1,27,0.8719,0.8598,0.9946,21.0,WARN
242,good_00 (8).png,GOOD,PASS,0.8462,185,30,1,27,0.8724,0.8605,0.9946,21.08,WARN
243,good_00 (9).png,GOOD,PASS,0.8462,186,30,1,27,0.873,0.8611,0.9947,21.13,WARN
244,defect_001 (46).png,DEFECTIVE,PASS,0.7724,186,31,1,27,0.8694,0.8571,0.9947,21.1,WARN
